s (1,1) 113
s (2,1) 495
s (3,1) 130
s (4,1) 335
s (5,1) 244
s (6,1) 49
s (7,1) 147
s (8,1) 68
s (9,1) 76
s (10,1) 394
s (11,1) 339
s (12,1) 177
s (13,1) 196
s (14,1) 260
s (15,1) 221
s (16,1) 255
s (17,1) 161
s (18,1) 69
s (19,1) 153
s (20,1) 250
s (21,1) 285
s (22,1) 409
s (23,1) 74
s (24,1) 144
s (25,1) 73
s (26,1) 391
s (27,1) 369
s (28,1) 218
s (29,1) 127
s (30,1) 65
s (31,1) 421
s (32,1) 464
s (33,1) 285
s (34,1) 20
s (35,1) 324
s (36,1) 416
s (37,1) 111
s (38,1) 450
s (39,1) 227
s (40,1) 418
s (41,1) 47
s (42,1) 306
s (43,1) 394
s (44,1) 148
s (45,1) 72
s (46,1) 318
s (47,1) 253
s (48,1) 464
s (49,1) 464
s (50,1) 272
s (51,1) 244
s (52,1) 57
s (53,1) 60
s (54,1) 163
s (55,1) 493
s (56,1) 143
s (57,1) 158
s (58,1) 490
s (59,1) 207
s (60,1) 382
s (61,1) 249
s (62,1) 415
s (63,1) 417
s (64,1) 482
s (65,1) 162
s (66,1) 250
s (67,1) 462
s (68,1) 88
s (69,1) 86
s (70,1) 177
s (71,1) 333
s (72,1) 467
s (73,1) 497
s (74,1) 348
s (75,1) 498
s (76,1) 406
s (77,1) 17
s (78,1) 142
s (79,1) 120
s (80,1) 462
s (81,1) 303
s (82,1) 26
s (83,1) 9
s (84,1) 492
s (85,1) 396
s (86,1) 168
s (87,1) 155
s (88,1) 399
s (89,1) 260
s (90,1) 492
s (91,1) 209
s (92,1) 260
s (93,1) 274
s (94,1) 102
s (95,1) 115
s (96,1) 435
s (97,1) 68
s (98,1) 457
s (99,1) 119
s (100,1) 43
s (101,1) 225
s (102,1) 117
s (103,1) 410
s (104,1) 283
s (105,1) 136
s (106,1) 348
s (107,1) 342
s (108,1) 240
s (109,1) 147
s (110,1) 404
s (111,1) 54
s (112,1) 451
s (113,1) 478
s (114,1) 19
s (115,1) 371
s (116,1) 359
s (117,1) 234
s (118,1) 69
s (119,1) 438
s (120,1) 496
s (121,1) 363
s (122,1) 239
s (123,1) 157
s (124,1) 239
s (125,1) 162
s (126,1) 25
s (127,1) 311
s (128,1) 462
s (129,1) 484
s (130,1) 21
s (131,1) 176
s (132,1) 320
s (133,1) 148
s (134,1) 80
s (135,1) 156
s (136,1) 298
s (137,1) 94
s (138,1) 338
s (139,1) 15
s (140,1) 341
s (141,1) 250
s (142,1) 478
s (143,1) 243
s (144,1) 328
s (145,1) 304
s (146,1) 396
s (147,1) 195
s (148,1) 59
s (149,1) 239
s (150,1) 26
(1,1) (1,2) 198
(2,1) (2,2) 22
(3,1) (3,2) 38
(4,1) (4,2) 58
(5,1) (5,2) 100
(6,1) (6,2) 168
(7,1) (7,2) 81
(8,1) (8,2) 222
(9,1) (9,2) 195
